EmployeeID,Age,Gender,MaritalStatus,Education_Level,EducationField,BusinessTravel,Department,Commute,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,Grade,Role,Satisfaction,NumCompaniesWorked,OverTime,TotalExperienceYears,YearsInCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithLineManager,Attrition
138,34,Female,Single,4,Other,rarely,Research & Development,6,4809,12482,665,41,2,Research Scientist,3,1,No,16,16,13,2,10,No
139,37,Male,Divorced,2,Social Sciences,none,Research & Development,2,5163,15850,1040,100,2,Healthcare Representative,4,5,No,17,1,0,0,0,No
140,59,Female,Married,4,Human Resources,none,Human Resources,2,18844,21922,1420,32,5,Manager,4,9,No,30,3,2,2,2,No
141,50,Female,Married,3,Social Sciences,frequently,Research & Development,1,18172,9755,1115,73,5,Research Director,2,3,Yes,28,8,3,0,7,No
142,25,Male,Single,3,Business,rarely,Sales,5,5744,26959,240,46,2,Sales Executive,3,1,Yes,6,6,4,0,3,Yes
143,25,Male,Married,1,Health Science,rarely,Research & Development,7,2889,26897,1280,64,1,Research Scientist,4,1,No,2,2,2,2,1,No
144,22,Female,Single,3,Health Science,rarely,Research & Development,15,2871,23785,534,59,1,Laboratory Technician,4,1,No,1,0,0,0,0,No
145,51,Female,Single,4,Health Science,frequently,Research & Development,1,7484,25796,1456,30,3,Healthcare Representative,1,3,No,23,13,12,12,8,No
147,34,Male,Single,3,Social Sciences,frequently,Research & Development,7,6074,22887,658,66,2,Laboratory Technician,3,1,Yes,9,9,7,0,6,Yes
148,54,Female,Single,3,Human Resources,none,Human Resources,26,17328,13871,142,30,4,Manager,4,2,Yes,23,5,3,4,4,No
150,24,Male,Married,1,Social Sciences,rarely,Research & Development,18,2774,13257,1127,52,1,Laboratory Technician,3,0,No,6,5,3,1,2,No
151,34,Female,Divorced,4,Social Sciences,rarely,Research & Development,6,4505,15000,1031,45,2,Research Scientist,2,6,No,12,1,0,0,0,No
152,37,Male,Single,3,Social Sciences,rarely,Sales,3,7428,14506,1189,87,3,Sales Executive,4,2,No,12,5,3,1,3,No
153,34,Female,Single,3,Health Science,rarely,Research & Development,5,11631,5615,1354,45,3,Manager,1,2,No,14,11,10,5,8,No
154,36,Female,Married,2,Engineering,frequently,Sales,11,9738,22952,1467,92,3,Sales Executive,4,0,No,10,9,7,2,8,No
155,36,Female,Divorced,2,Social Sciences,rarely,Research & Development,3,2835,2561,922,39,1,Laboratory Technician,4,5,No,7,1,0,0,0,No
158,43,Male,Married,2,Social Sciences,frequently,Sales,26,16959,19494,394,92,4,Manager,4,1,Yes,25,25,12,4,12,No
159,30,Male,Divorced,3,Social Sciences,frequently,Research & Development,23,2613,22310,1312,96,1,Research Scientist,3,1,No,10,10,7,0,9,No
160,33,Male,Married,2,Business,none,Sales,22,6146,15480,750,95,2,Sales Executive,2,0,No,8,7,7,0,7,No
161,56,Female,Married,4,Social Sciences,rarely,Research & Development,14,4963,4510,441,72,1,Research Scientist,2,9,Yes,7,5,4,4,3,Yes
162,51,Male,Single,3,Social Sciences,rarely,Research & Development,6,19537,6462,684,51,5,Research Director,3,7,No,23,20,18,15,15,No
163,31,Male,Married,4,Social Sciences,rarely,Sales,6,6172,20739,249,76,2,Sales Executive,3,4,Yes,12,7,7,7,7,Yes
164,26,Female,Married,3,Other,rarely,Research & Development,6,2368,23300,841,46,1,Research Scientist,2,1,No,5,5,4,4,3,No
165,58,Female,Married,4,Health Science,rarely,Research & Development,23,10312,3465,147,94,3,Healthcare Representative,4,1,No,40,40,10,15,6,Yes
167,19,Male,Single,1,Business,rarely,Sales,22,1675,26820,528,50,1,Sales Representative,3,1,Yes,0,0,0,0,0,Yes
169,22,Male,Married,1,Engineering,rarely,Research & Development,2,2523,19299,594,100,1,Laboratory Technician,4,0,No,3,2,1,2,1,No
170,49,Female,Married,4,Health Science,rarely,Research & Development,20,6567,5549,470,96,2,Manufacturing Director,1,1,No,16,15,11,5,11,No
171,43,Female,Single,3,Health Science,frequently,Research & Development,28,4739,16090,957,72,1,Research Scientist,3,4,No,18,3,2,1,2,No
174,50,Female,Single,3,Business,frequently,Sales,12,9208,6645,809,77,3,Sales Executive,4,4,No,16,2,2,2,1,No
175,31,Female,Married,3,Social Sciences,rarely,Sales,20,4559,24788,542,71,2,Sales Executive,3,3,Yes,4,2,2,2,2,Yes
176,41,Male,Divorced,1,Social Sciences,rarely,Sales,9,8189,21196,802,96,3,Sales Executive,3,3,Yes,12,9,7,0,7,No
177,26,Female,Married,1,Social Sciences,rarely,Human Resources,25,2942,8916,1355,61,1,Human Resources,3,1,No,8,8,7,5,7,No
178,36,Male,Divorced,2,Health Science,rarely,Research & Development,6,4941,2819,216,84,2,Manufacturing Director,2,6,No,7,3,2,0,1,No
179,51,Male,Single,4,Social Sciences,frequently,Research & Development,8,10650,25150,1150,53,3,Manufacturing Director,4,2,No,18,4,2,0,3,Yes
182,39,Female,Married,4,Social Sciences,rarely,Sales,4,5902,14590,1329,47,2,Sales Executive,3,4,No,17,15,11,5,9,No
183,25,Male,Married,3,Social Sciences,rarely,Sales,28,8639,24835,959,41,2,Sales Executive,3,2,No,6,2,2,2,2,No
184,30,Male,Married,3,Human Resources,rarely,Human Resources,9,6347,13982,1240,48,2,Human Resources,4,0,Yes,12,11,9,4,7,No
190,32,Female,Single,3,Health Science,rarely,Research & Development,9,4200,10224,1033,41,1,Laboratory Technician,1,7,No,10,5,4,0,4,Yes
192,45,Male,Single,3,Health Science,rarely,Research & Development,29,3452,9752,1316,83,1,Research Scientist,4,5,No,9,6,5,0,3,No
193,38,Female,Single,5,Engineering,rarely,Research & Development,3,4317,2302,364,32,2,Research Scientist,3,3,Yes,19,3,2,2,2,No
194,30,Female,Single,3,Social Sciences,rarely,Research & Development,18,2632,23910,438,75,1,Research Scientist,3,1,No,5,5,4,0,4,No
195,32,Male,Divorced,2,Health Science,frequently,Sales,9,4668,22812,689,35,2,Sales Executive,4,0,No,9,8,7,0,7,No
197,30,Female,Divorced,3,Engineering,rarely,Research & Development,5,3204,10415,201,84,1,Research Scientist,1,5,No,8,3,2,2,2,No
198,30,Male,Single,1,Health Science,rarely,Research & Development,2,2720,11162,1427,35,1,Laboratory Technician,4,0,No,6,5,3,1,2,No
199,41,Male,Divorced,3,Social Sciences,frequently,Research & Development,10,17181,12888,857,91,4,Manager,1,4,No,21,7,6,7,7,No
200,41,Male,Married,4,Social Sciences,rarely,Research & Development,9,2238,6961,933,94,1,Laboratory Technician,1,2,No,7,5,0,1,4,No
201,19,Female,Single,1,Health Science,rarely,Research & Development,3,1483,16102,1181,79,1,Laboratory Technician,2,1,No,1,1,0,0,0,No
202,40,Female,Divorced,3,Health Science,frequently,Research & Development,26,5605,8504,1395,54,2,Research Scientist,2,1,No,20,20,7,2,13,No
204,35,Male,Married,5,Business,rarely,Sales,1,7295,11439,662,94,3,Sales Executive,2,1,No,10,10,8,0,6,No
205,53,Male,Married,2,Business,rarely,Sales,6,2306,16047,1436,34,2,Sales Representative,3,2,Yes,13,7,7,4,5,No
206,45,Male,Divorced,3,Social Sciences,rarely,Research & Development,9,2348,10901,194,60,2,Laboratory Technician,2,8,No,20,17,9,0,15,No
207,32,Female,Single,3,Business,frequently,Sales,8,8998,15589,967,43,3,Sales Executive,4,1,No,9,9,8,3,7,No
208,29,Male,Married,1,Engineering,none,Research & Development,1,4319,26283,1496,41,2,Manufacturing Director,3,1,No,10,10,7,0,9,No
211,51,Male,Married,4,Health Science,rarely,Research & Development,7,6132,13983,1169,34,2,Manufacturing Director,3,2,No,10,1,0,0,0,No
214,58,Female,Married,3,Health Science,rarely,Research & Development,9,3346,11873,1145,75,1,Research Scientist,2,4,Yes,9,1,0,0,0,No
215,40,Male,Married,4,Business,rarely,Sales,4,10855,8552,630,67,3,Sales Executive,4,7,No,15,12,11,2,11,No
216,34,Female,Married,4,Business,frequently,Sales,2,2231,11314,303,75,1,Sales Representative,3,6,No,6,4,3,1,2,No
217,22,Male,Married,1,Health Science,rarely,Research & Development,19,2323,11992,1256,80,1,Research Scientist,4,1,No,2,2,2,2,2,No
218,27,Male,Divorced,3,Health Science,none,Research & Development,9,2024,5970,691,57,1,Research Scientist,2,6,No,6,2,2,2,2,No
221,28,Male,Married,3,Health Science,rarely,Research & Development,21,2713,6672,440,42,1,Research Scientist,4,1,No,5,5,2,0,2,No
223,57,Male,Divorced,2,Social Sciences,rarely,Research & Development,24,9439,23402,334,83,3,Healthcare Representative,4,3,Yes,12,5,3,1,4,No
224,27,Male,Divorced,3,Health Science,none,Research & Development,3,2566,25326,1450,79,1,Research Scientist,3,1,Yes,1,1,1,0,1,No
226,50,Female,Single,3,Social Sciences,rarely,Research & Development,11,19926,17053,1452,53,5,Manager,2,3,No,21,5,4,4,4,No
227,41,Male,Divorced,3,Social Sciences,rarely,Research & Development,14,2451,4609,465,56,1,Research Scientist,3,4,No,13,9,8,1,8,No
228,30,Female,Married,3,Social Sciences,rarely,Sales,5,9419,8053,1339,41,3,Sales Executive,4,2,No,12,10,9,7,4,No
230,38,Female,Single,4,Social Sciences,rarely,Sales,1,8686,12930,702,59,2,Sales Executive,4,4,No,12,8,3,0,7,No
231,32,Male,Single,5,Social Sciences,rarely,Research & Development,6,3038,12430,120,43,1,Research Scientist,3,3,No,8,5,4,1,4,No
233,27,Male,Married,3,Engineering,rarely,Research & Development,17,3058,13364,1157,51,1,Research Scientist,2,0,Yes,6,5,2,1,1,No
235,19,Female,Single,1,Engineering,frequently,Sales,1,2325,20989,602,100,1,Sales Representative,1,0,No,1,0,0,0,0,Yes
238,36,Male,Single,2,Health Science,frequently,Research & Development,3,2088,15062,1480,30,1,Laboratory Technician,2,4,No,13,8,7,7,2,No
239,30,Male,Divorced,3,Health Science,none,Research & Development,9,3072,11012,111,66,2,Laboratory Technician,1,1,No,12,12,9,6,10,No
240,45,Female,Divorced,2,Social Sciences,rarely,Sales,4,5006,6319,1268,30,2,Sales Executive,1,4,Yes,9,5,4,0,3,No
241,56,Female,Divorced,3,Social Sciences,rarely,Research & Development,8,4257,13939,713,67,1,Research Scientist,1,4,Yes,19,2,2,2,2,No
242,33,Male,Single,3,Social Sciences,rarely,Research & Development,2,2500,10515,134,90,1,Research Scientist,4,0,No,4,3,1,0,2,No
243,19,Male,Single,3,Social Sciences,rarely,Research & Development,2,1102,9241,303,47,1,Laboratory Technician,4,1,No,1,1,0,1,0,Yes
244,46,Female,Divorced,2,Business,rarely,Sales,1,10453,2137,526,92,3,Sales Executive,1,1,No,24,24,13,15,7,No
245,38,Female,Single,2,Social Sciences,rarely,Research & Development,9,2288,6319,1380,75,1,Laboratory Technician,4,1,No,2,2,2,2,1,No
246,31,Female,Married,1,Health Science,rarely,Research & Development,12,3929,6984,140,95,1,Research Scientist,4,8,Yes,7,4,2,0,2,No
247,34,Female,Single,2,Health Science,rarely,Research & Development,27,2311,5711,629,95,1,Research Scientist,2,2,No,9,3,2,1,2,No
248,41,Female,Single,2,Business,rarely,Sales,20,3140,21728,1356,70,1,Sales Representative,2,1,Yes,4,4,3,0,2,Yes
249,50,Male,Married,3,Health Science,rarely,Research & Development,1,3690,3425,328,86,1,Laboratory Technician,3,2,No,5,3,2,0,2,No
250,53,Female,Divorced,2,Health Science,rarely,Research & Development,13,4450,26250,1084,57,2,Manufacturing Director,1,1,No,5,4,2,1,3,No
252,33,Female,Married,3,Health Science,rarely,Research & Development,14,2756,4673,931,72,1,Research Scientist,2,1,No,8,8,7,1,6,No
253,40,Female,Married,1,Health Science,rarely,Research & Development,4,19033,6499,989,46,5,Manager,3,1,No,21,20,8,9,9,No
254,55,Male,Single,4,Health Science,rarely,Research & Development,14,18722,13339,692,61,5,Research Director,2,8,No,36,24,15,2,15,No
256,34,Male,Married,1,Social Sciences,frequently,Research & Development,2,9547,14074,1069,45,2,Manufacturing Director,3,1,No,10,10,9,1,9,No
258,51,Female,Single,3,Health Science,rarely,Research & Development,3,13734,7192,313,98,4,Healthcare Representative,2,3,No,21,7,7,1,0,No
259,52,Male,Married,4,Social Sciences,rarely,Research & Development,1,19999,5678,699,65,5,Manager,3,0,No,34,33,18,11,9,No
260,27,Female,Single,3,Health Science,rarely,Research & Development,9,2279,11781,894,99,1,Research Scientist,2,1,No,7,7,7,0,3,No
261,35,Male,Married,2,Social Sciences,rarely,Research & Development,23,5916,15497,556,50,2,Manufacturing Director,3,3,Yes,8,1,0,0,1,Yes
262,43,Male,Divorced,3,Health Science,none,Research & Development,7,2089,5228,1344,37,1,Research Scientist,4,4,No,7,5,4,2,2,No
264,45,Male,Married,2,Health Science,none,Research & Development,2,16792,20462,1195,65,4,Manager,4,9,No,22,20,8,11,8,No
267,37,Male,Married,3,Social Sciences,rarely,Research & Development,21,3564,22977,290,65,1,Research Scientist,1,1,Yes,8,8,7,1,7,No
269,35,Female,Single,3,Health Science,frequently,Research & Development,2,4425,15986,138,37,2,Laboratory Technician,2,5,No,10,6,2,1,2,No
270,42,Female,Divorced,2,Health Science,none,Research & Development,21,5265,16439,926,36,2,Manufacturing Director,3,2,No,11,5,3,0,2,No
271,38,Male,Married,4,Social Sciences,rarely,Research & Development,2,6553,7259,1261,88,2,Manufacturing Director,3,9,No,14,1,0,0,0,No
273,38,Male,Married,3,Engineering,rarely,Research & Development,29,6261,4185,1084,54,2,Manufacturing Director,4,3,No,9,7,7,1,7,No
